footwork,7.778174593052023,(255, 187, 120)
freakbeat,7.778174593052023,(255, 127, 14)
free jazz,7.778174593052023,(227, 119, 194)
futurepop,7.778174593052023,(31, 119, 180)
garage pop,7.778174593052023,(31, 119, 180)
german indie,7.778174593052023,(255, 187, 120)
goregrind,7.778174593052023,(255, 152, 150)
grindcore,7.778174593052023,(255, 152, 150)
hands up,7.778174593052023,(255, 187, 120)
hard alternative,7.778174593052023,(255, 127, 14)
hardcore,7.778174593052023,(255, 152, 150)
hardstyle,7.778174593052023,(255, 187, 120)
harmonica blues,7.778174593052023,(140, 86, 75)
hawaiian,7.778174593052023,(255, 127, 14)
horror punk,7.778174593052023,(148, 103, 189)
indian classical,7.778174593052023,(247, 182, 210)
indonesian pop,7.778174593052023,(31, 119, 180)
israeli rock,7.778174593052023,(255, 127, 14)
italian disco,7.778174593052023,(255, 187, 120)
italian hip hop,7.778174593052023,(174, 199, 232)
italian indie pop,7.778174593052023,(31, 119, 180)
j-pop,7.778174593052023,(31, 119, 180)
japanese r&amp;b,7.778174593052023,(44, 160, 44)
jazz metal,7.778174593052023,(255, 152, 150)
kirtan,7.778174593052023,(127, 127, 127)
kizomba,7.778174593052023,(127, 127, 127)
kompa,7.778174593052023,(127, 127, 127)
kraut rock,7.778174593052023,(255, 127, 14)
louisiana blues,7.778174593052023,(140, 86, 75)
mande pop,7.778174593052023,(31, 119, 180)
math rock,7.778174593052023,(255, 127, 14)
medieval,7.778174593052023,(247, 182, 210)
mexican son,7.778174593052023,(152, 223, 138)
neo-progressive,7.778174593052023,(255, 127, 14)
neo-singer-songwriter,7.778174593052023,(31, 119, 180)
neoclassical,7.778174593052023,(247, 182, 210)
neue deutsche harte,7.778174593052023,(255, 127, 14)
neurofunk,7.778174593052023,(44, 160, 44)
new orleans blues,7.778174593052023,(140, 86, 75)
northern soul,7.778174593052023,(44, 160, 44)
old-time,7.778174593052023,(214, 39, 40)
orchestral,7.778174593052023,(247, 182, 210)
orgcore,7.778174593052023,(148, 103, 189)
outsider,7.778174593052023,(255, 127, 14)
persian pop,7.778174593052023,(31, 119, 180)
peruvian rock,7.778174593052023,(255, 127, 14)
polish pop,7.778174593052023,(31, 119, 180)
portuguese rock,7.778174593052023,(255, 127, 14)
post-post-hardcore,7.778174593052023,(255, 152, 150)
progressive psytrance,7.778174593052023,(255, 187, 120)
psychill,7.778174593052023,(255, 187, 120)
psychobilly,7.778174593052023,(148, 103, 189)
qawwali,7.778174593052023,(31, 119, 180)
ragtime,7.778174593052023,(227, 119, 194)
riot grrrl,7.778174593052023,(255, 127, 14)
schlager,7.778174593052023,(31, 119, 180)
sega,7.778174593052023,(255, 127, 14)
shimmer psych,7.778174593052023,(31, 119, 180)
slovak pop,7.778174593052023,(31, 119, 180)
southern gospel,7.778174593052023,(44, 160, 44)
speed garage,7.778174593052023,(255, 187, 120)
swedish indie pop,7.778174593052023,(31, 119, 180)
symphonic black metal,7.778174593052023,(255, 152, 150)
technical death metal,7.778174593052023,(255, 152, 150)
techno,7.778174593052023,(255, 187, 120)
traditional blues,7.778174593052023,(140, 86, 75)
trance hop,7.778174593052023,(255, 187, 120)
turkish pop,7.778174593052023,(31, 119, 180)
vaporwave,7.778174593052023,(255, 187, 120)
venezuelan rock,7.778174593052023,(255, 127, 14)
viking metal,7.778174593052023,(255, 152, 150)
violin,7.778174593052023,(247, 182, 210)
welsh rock,7.778174593052023,(255, 127, 14)
witch house,7.778174593052023,(255, 187, 120)
world fusion,7.778174593052023,(127, 127, 127)
ye ye,7.778174593052023,(31, 119, 180)
zouk,7.778174593052023,(127, 127, 127)
acousmatic,5.5,(247, 182, 210)
ambient idm,5.5,(255, 187, 120)
anime,5.5,(127, 127, 127)
atmospheric black metal,5.5,(255, 152, 150)
atmospheric post rock,5.5,(255, 127, 14)
basque rock,5.5,(255, 127, 14)
beatdown,5.5,(255, 152, 150)
black death,5.5,(255, 152, 150)
boogie-woogie,5.5,(140, 86, 75)
bouncy house,5.5,(255, 187, 120)
breakcore,5.5,(255, 187, 120)
broken beat,5.5,(255, 187, 120)
brutal deathcore,5.5,(255, 152, 150)
c-pop,5.5,(31, 119, 180)
calypso,5.5,(255, 127, 14)
cantopop,5.5,(31, 119, 180)
chalga,5.5,(31, 119, 180)
